police_station,junction_name,grid_lat,grid_lon,hour_sin,hour_cos,day_sin,day_cos,police_station_freq,junction_name_freq,vehicle_mass_impact,prev_hour_impact,prev_2hour_impact,predicted_impact,actual_impact
Vijayanagara,BTP208 - Havanur Circle,12.9886,77.5375,0.0,1.0,0.0,1.0,0.048238284242044425,0.004177982034677251,1.5,1.2,0.0,2.418602,3.599999999999999
Jeevanbheemanagar,"BTP148 - 17th Main, Doopanahalli Bus Stop",12.9602,77.644,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.021464382703154376,0.003063853492096651,0.5,0.0,0.0,1.118756,1.0
Halasur,No Junction,12.9735,77.6141,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.01305619385836641,0.5119768818327415,2.0,0.0,0.0,1.0518798,1.0
Shivajinagar,BTP042 - Minsk Square Junction (CTO),12.9811,77.5984,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.08265441125269828,0.003185711301441404,2.5,1.0,4.0,4.490282,4.8
Jeevanbheemanagar,"BTP148 - 17th Main, Doopanahalli Bus Stop",12.9629,77.6416,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0.021464382703154376,0.003063853492096651,2.0,0.0,0.0,1.2681981,1.0
Upparpet,BTP044 - Sagar Theatre Junction,12.9735,77.5793,0.7071067811865475,0.7071067811865476,0.0,1.0,0.1027261332776269,0.03302346633242811,0.5,1.0,2.4,1.1741598,1.0
Jeevanbheemanagar,No Junction,12.9698,77.6414,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.021464382703154376,0.5119768818327415,1.0,0.0,0.0,1.1320245,1.0
Shivajinagar,BTP051 - Safina Plaza Junction,12.9818,77.6104,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.08265441125269828,0.04388621962258896,5.0,4.8,1.0,6.138549,3.2000000000000006
Mahadevapura,No Junction,12.9961,77.6684,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.021986630457489033,0.5119768818327415,0.5,2.5,1.0,2.0297327,1.5
Wilson Garden,"BTP123 - 10th Cross, Wilson Garden",12.9451,77.595,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.013091010375322053,0.003063853492096651,0.5,1.0,1.0,1.0009986,1.0
HAL Old Airport,No Junction,12.9326,77.6884,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.063818675579695,0.5119768818327415,1.0,1.0,0.0,1.6736476,2.5
Cubbon Park,BTP051 - Safina Plaza Junction,12.975,77.6078,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.010218647726481444,0.04388621962258896,1.0,1.2,0.0,1.3426192,1.0
HAL Old Airport,No Junction,12.9502,77.6998,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.063818675579695,0.5119768818327415,6.0,5.0,2.5,7.9175134,7.5
HSR Layout,No Junction,12.8922,77.6382,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.01568484088851751,0.5119768818327415,0.5,0.0,0.0,1.2577515,1.2
Malleshwaram,"BTP182 - 19th Main Junction, Rajajinagar",12.9992,77.5508,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.08923473295731495,0.005692500522247754,4.0,2.0,0.0,2.3886204,2.4
Malleshwaram,No Junction,13.0112,77.5519,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.08923473295731495,0.5119768818327415,1.0,0.0,0.0,1.2657294,1.0
Mahadevapura,No Junction,12.9906,77.7145,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.021986630457489033,0.5119768818327415,2.0,0.0,0.0,1.2194287,1.2
HAL Old Airport,No Junction,12.9333,77.6912,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.063818675579695,0.5119768818327415,7.0,10.0,3.0,13.475381,9.000000000000002
High ground,No Junction,12.9895,77.5992,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.00964417519671332,0.5119768818327415,0.5,0.0,0.0,1.122525,1.0
Pulikeshinagar(F.Town),No Junction,13.0004,77.6108,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.013561033354223243,0.5119768818327415,1.0,0.0,0.0,1.3492658,1.2
HAL Old Airport,No Junction,12.9675,77.7161,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.063818675579695,0.5119768818327415,4.0,0.0,0.0,2.3985596,2.4
HAL Old Airport,No Junction,12.9444,77.6979,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.063818675579695,0.5119768818327415,2.0,0.0,0.0,1.9287212,2.5
Ashok Nagar,BTP172 - Nanjappa Circle,12.962,77.5988,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.008773762272822228,0.0016886010723487221,8.0,3.0,1.0,9.352624,12.0
Malleshwaram,No Junction,13.0078,77.5712,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.08923473295731495,0.5119768818327415,2.0,3.5999999999999996,0.0,1.311777,1.2
K.R. Pura,No Junction,13.0452,77.75,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.024632685746117957,0.5119768818327415,1.0,0.0,0.0,1.617134,2.5
Bellandur,No Junction,12.9276,77.6803,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.01704268504978762,0.5119768818327415,1.0,1.0,0.0,1.2155013,1.2
Shivajinagar,BTP051 - Safina Plaza Junction,12.983,77.6082,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.08265441125269828,0.04388621962258896,0.5,0.0,0.0,1.22988,1.2
Vijayanagara,BTP020 - Hosahalli Metro Station,12.9739,77.5447,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.048238284242044425,0.008547454912610542,0.5,1.0,1.0,1.046644,1.0
Madiwala,No Junction,12.9068,77.6282,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.00788594109045331,0.5119768818327415,1.0,2.5,5.0,3.320926,2.5
Halasuru Gate,"BTP080 - NR Road, SP Road Junction",12.9643,77.5807,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.025520506928486873,0.014762203189192953,1.0,1.0,0.0,1.2517575,1.2
Halasuru Gate,BTP076 - Hudson Circle,12.9677,77.5895,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.025520506928486873,0.0018975001740825848,2.0,0.0,0.0,1.2575171,2.5
Malleshwaram,No Junction,13.0055,77.5702,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.08923473295731495,0.5119768818327415,4.0,0.0,0.0,2.4117503,3.4000000000000004
Halasuru Gate,"BTP080 - NR Road, SP Road Junction",12.9643,77.5839,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.025520506928486873,0.014762203189192953,1.5,5.5,1.0,2.8261333,2.4
Malleshwaram,"BTP026 - 1st Block Junction, Rajajinagar",13.0025,77.5502,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.08923473295731495,0.0032205278183970476,2.0,1.2,0.0,1.1980597,1.2
Basavanagudi,BTP216 - Yediyur Junction,12.9375,77.5768,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.018417937469535548,0.0009574542162802033,2.0,0.0,0.0,1.1626115,1.0
Vijayanagara,BTP028 - Vijayanagar Bus Stand Junction,12.9723,77.5376,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0.048238284242044425,0.003290160852308335,2.0,1.0,0.0,1.1782696,1.2
Pulikeshinagar(F.Town),No Junction,12.9908,77.6122,0.7071067811865475,0.7071067811865476,0.0,1.0,0.013561033354223243,0.5119768818327415,2.0,0.0,0.0,1.1580911,1.0
Electronic City,No Junction,12.8713,77.6541,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.015893739990251374,0.5119768818327415,0.5,1.2,0.0,1.2507304,1.2
Chikkajala,No Junction,13.1837,77.6811,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.0190968595501706,0.5119768818327415,2.0,0.0,0.0,1.0996403,1.2
Electronic City,No Junction,12.8419,77.6456,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,0.015893739990251374,0.5119768818327415,4.5,2.0,1.0,4.6780205,3.2000000000000006
Madiwala,BTP137 - Madiwala Traffic PS Junction,12.9231,77.619,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.00788594109045331,0.0029245874242740757,1.0,0.0,0.0,1.2323644,1.0
Electronic City,No Junction,12.8416,77.6476,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0.015893739990251374,0.5119768818327415,0.5,1.0,1.2,1.0470076,1.0
V.V.Puram (C.Pet),BTP105 - Shivasankara Circle,12.9582,77.572,1.0,6.123233995736766e-17,0.0,1.0,0.007711858505675092,0.0008530046654132721,1.0,1.0,1.0,1.541365,1.9999999999999996
Banaswadi,No Junction,12.9962,77.6684,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.012795069981199081,0.5119768818327415,1.0,1.0,2.5,2.0732796,1.2
Halasur,"BTP145 - Sri Hatti Maramma Circle, Domluru",12.9615,77.6352,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.01305619385836641,0.000574472529768122,2.0,0.0,0.0,1.0887051,1.0
Whitefield,No Junction,12.9697,77.7499,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.009296010027156883,0.5119768818327415,2.0,0.0,0.0,1.6289651,2.5
Madiwala,BTP137 - Madiwala Traffic PS Junction,12.9177,77.622,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.00788594109045331,0.0029245874242740757,1.0,0.0,0.0,1.0834142,1.0
Basavanagudi,BTP108 - Tagore Park Junction,12.9452,77.5711,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0.018417937469535548,0.008843395306733514,1.0,4.0,2.0,1.4268161,1.0
Yeshwanthpura,No Junction,13.0307,77.5365,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.008181881484576284,0.5119768818327415,2.0,1.2,0.0,1.7994831,2.5
Electronic City,No Junction,12.8747,77.6486,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0.015893739990251374,0.5119768818327415,1.0,0.0,0.0,1.2749591,1.2
Upparpet,BTP058 - Subbanna Junction,12.979,77.5794,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0.1027261332776269,0.017965322749112177,2.0,2.0,1.0,1.0576847,1.0
Jayanagara,BTP187 - South End Circle,12.9361,77.5809,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0.011559083629273728,0.00022630736021168443,1.0,0.0,0.0,1.3504381,1.2
Vijayanagara,BTP027 - Modi Bridge Junction,12.9975,77.5501,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.048238284242044425,0.01305619385836641,1.0,1.2,2.4,1.5557029,2.4
Chikkajala,No Junction,13.1909,77.6459,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0.0190968595501706,0.5119768818327415,2.0,2.5,2.5,1.6962405,2.5
Madiwala,No Junction,12.9259,77.6188,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.00788594109045331,0.5119768818327415,2.0,1.0,0.0,1.1744415,1.0
Upparpet,BTP040 - Elite Junction,12.976,77.5774,0.0,1.0,0.0,1.0,0.1027261332776269,0.028967342107095607,1.0,3.4,2.4,1.5210245,1.0
V.V.Puram (C.Pet),BTP212 - Minto Junction,12.9605,77.5711,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0.007711858505675092,0.0006963303391128751,2.0,0.0,0.0,1.0948555,1.0
Jayanagara,"BTP189 - New Diagonal Road, Jayanagar",12.9281,77.5807,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.011559083629273728,0.0012185780934475315,1.5,4.0,2.0,2.3445747,3.0
Chamarajpet,"BTP083 - AS Char Street, Mysore Road",12.9652,77.5737,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.013299909477055916,0.011924657057307986,1.5,1.0,2.4,3.110093,5.0
Byatarayanapura,BTP096 - Gali Anjaneya Temple,12.952,77.5405,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.016433396003063854,0.0036557342803425945,2.0,0.0,0.0,1.4473505,1.0
Kamakshipalya,No Junction,12.9902,77.5048,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.005083211475523989,0.5119768818327415,1.0,0.0,0.0,1.1578087,1.0
Jnanabharathi,No Junction,12.9613,77.5108,0.9659258262890683,0.25881904510252074,0.0,1.0,0.003568692987953485,0.5119768818327415,0.5,0.0,0.0,1.0519704,1.2
City Market,BTP082 - KR Market Junction,12.9644,77.5772,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.06268713877863659,0.03944711371074438,0.5,1.2,1.2,1.1694947,1.2
Jeevanbheemanagar,No Junction,12.9695,77.6412,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.021464382703154376,0.5119768818327415,1.5,2.0,0.0,2.4789948,2.4
Upparpet,BTP058 - Subbanna Junction,12.979,77.5782,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.1027261332776269,0.017965322749112177,2.0,1.2,1.2,1.0613854,1.2
Chamarajpet,BTP091 - Sirsi Circle,12.9604,77.5613,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,0.013299909477055916,0.0010270872501914909,2.0,0.0,0.0,2.1472175,2.5
Jeevanbheemanagar,No Junction,12.9868,77.6479,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.021464382703154376,0.5119768818327415,1.0,0.0,0.0,1.3692323,1.2
Upparpet,BTP058 - Subbanna Junction,12.9791,77.5792,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0.1027261332776269,0.017965322749112177,6.0,1.0,1.0,3.5357904,3.2000000000000006
Halasuru Gate,"BTP080 - NR Road, SP Road Junction",12.9646,77.584,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.025520506928486873,0.014762203189192953,0.5,2.4,6.0,1.1871797,1.0
No Police Station,No Junction,13.0542,77.4828,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.0014622937121370379,0.5119768818327415,1.0,0.0,0.0,1.3480628,1.2
Wilson Garden,No Junction,12.9386,77.5926,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.013091010375322053,0.5119768818327415,1.0,1.0,0.0,1.0931141,1.0
Upparpet,BTP057 - Anand Rao Junction,12.9787,77.5738,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0.1027261332776269,0.013317317735533737,2.0,4.8,1.2,1.2515221,1.2
Shivajinagar,BTP051 - Safina Plaza Junction,12.9824,77.61,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.08265441125269828,0.04388621962258896,1.0,1.2,1.2,1.3978705,1.2
Pulikeshinagar(F.Town),No Junction,12.9953,77.6115,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.013561033354223243,0.5119768818327415,2.0,0.0,0.0,1.2308408,1.0
Malleshwaram,No Junction,12.9963,77.5715,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.08923473295731495,0.5119768818327415,2.0,7.0,0.0,1.5053897,1.0
Cubbon Park,BTP052 - CID Carlton House Junction,12.9822,77.5882,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.010218647726481444,0.0003307569110786157,2.0,0.0,0.0,1.2534764,1.0
Halasuru Gate,BTP079 - Town Hall Junction,12.9631,77.5848,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.025520506928486873,0.000713738597590697,0.5,0.0,0.0,1.0827004,1.2
Pulikeshinagar(F.Town),No Junction,12.9972,77.6116,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.013561033354223243,0.5119768818327415,3.0,0.0,0.0,2.747676,2.4
Magadi Road,No Junction,12.9643,77.5536,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.026460552886289256,0.5119768818327415,0.5,1.0,0.0,1.037884,1.0
R.T. Nagar,No Junction,13.0276,77.586,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.004508738945755867,0.5119768818327415,0.5,0.0,0.0,1.1042873,1.2
High ground,No Junction,12.9885,77.5986,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.00964417519671332,0.5119768818327415,2.0,3.5999999999999996,0.0,1.4262028,1.2
Magadi Road,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",12.9795,77.5549,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.026460552886289256,0.0017756423647378315,2.0,0.0,0.0,1.391454,1.0
Madiwala,No Junction,12.9032,77.6272,0.8660254037844386,0.5000000000000001,0.0,1.0,0.00788594109045331,0.5119768818327415,0.5,0.0,0.0,1.30866,1.0
Malleshwaram,No Junction,12.9971,77.5685,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.08923473295731495,0.5119768818327415,1.0,0.0,0.0,1.3017714,1.2
Upparpet,BTP057 - Anand Rao Junction,12.9789,77.5751,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.1027261332776269,0.013317317735533737,1.5,2.4,0.0,2.4013371,2.2
Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road",12.9735,77.5513,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.026460552886289256,0.004247615068588538,3.0,1.0,1.0,3.2670922,3.0
HAL Old Airport,No Junction,12.9305,77.6857,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.063818675579695,0.5119768818327415,2.0,1.2,1.0,1.2142518,2.5
HAL Old Airport,No Junction,12.95,77.6996,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0.063818675579695,0.5119768818327415,1.0,2.5,7.5,1.7663457,1.2
HAL Old Airport,No Junction,12.9318,77.6847,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.063818675579695,0.5119768818327415,2.0,0.0,0.0,1.1503527,1.0
